nik,company,hire,termination,status
,PIT,2018-09-03,2019-01-31,Resign
,SEA,2018-11-24,2019-02-28,Resign
,SEA,2019-03-21,2019-04-12,Resign
,SEA,2018-10-01,2019-05-03,Resign
,SEA,2018-06-18,2019-06-03,Resign
,SEA,2018-10-18,2019-06-03,Resign
,SEA,2019-05-03,2019-06-03,Resign
,PIT,2018-03-01,2019-06-15,Resign
,PIT,2018-11-14,2019-06-29,Resign
,PIT,2018-11-14,2019-06-29,Resign
,SEA,2018-08-04,2019-07-02,Resign
,SEA,2018-11-01,2019-07-30,Resign
,SEA,2019-06-24,2019-07-31,Resign
,SEA,2017-10-09,2019-07-31,Resign
,PIT,2018-08-01,2019-07-31,Resign
,SEA,2018-02-01,2019-08-04,Resign
,PIT,2019-05-10,2019-08-22,Resign
,SEA,2019-04-08,2019-08-30,Resign
,JBS,2017-12-04,2019-09-02,Resign
,SEA,2019-06-10,2019-09-02,Resign
,PIT,2019-06-29,2019-09-03,Resign
,PIT,2019-08-01,2019-10-01,Resign
,PIT,2019-09-16,2019-10-01,Resign
,SEA,2018-12-03,2019-10-01,Resign
,PIT,2019-02-26,2019-10-01,Resign
,SEA,2019-07-15,2019-10-22,Resign
,JBS,2018-02-05,2019-11-30,Resign
,PIT,2019-08-20,2019-11-30,Resign
,PIT,2019-10-03,2019-12-05,Resign
,PIT,2018-05-02,2019-12-31,Resign
,SEA,2019-08-20,2019-12-31,Resign
,SEA,2019-02-01,2019-12-31,Resign
,PIT,2017-08-01,2020-01-30,Resign
,SEA,2019-08-20,2020-01-31,Resign
,SEA,2019-08-01,2020-01-31,Resign
,PIT,2019-08-20,2020-01-31,Resign
,PIT,2020-02-07,2020-02-12,Resign
,PIT,2019-08-01,2020-02-20,Resign
,SEA,2020-02-03,2020-02-28,Resign
,SEA,2020-02-03,2020-02-28,Resign
,PIT,2018-09-25,2020-03-31,Resign
,SEA,2018-11-01,2020-04-30,Resign
,SEA,2019-09-09,2020-04-30,Resign
,PIT,2020-01-20,2020-04-30,Resign
,PIT,2019-09-18,2020-05-30,Resign
,SEA,2019-01-08,2020-06-30,Resign
,PIT,2014-01-10,2020-07-08,Resign
,PIT,2018-09-03,2020-07-22,Resign
,SEA,2019-09-09,2020-08-31,Resign
,SEA,2019-02-09,2020-08-31,Resign
,PIT,2019-08-01,2020-09-01,Resign
